NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.182998657,0.19901368,0.262133986,0.15824157,0.197612137
P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.367692709,0.121008106,0.072629027,0.312278062,0.126392111
P,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.802936435,0.026149813,0.032648895,0.133110046,0.005154788
NEU,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.646615148,0.04204113,0.034603193,0.210429966,0.066310547
N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.404269218,0.106608957,0.064544365,0.402915478,0.021661986
NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.702373743,0.045101713,0.01822285,0.223077089,0.01122459
N,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.614157677,0.037807088,0.151022911,0.194372401,0.002639851
N,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.57344985,0.025746353,0.05605324,0.306520224,0.03823036
N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.667675376,0.022916492,0.048525512,0.241852373,0.01903029
N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.112854682,0.051691085,0.034949418,0.313051224,0.48745358
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.620576739,0.042585127,0.0837311,0.249478489,0.003628545
P,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.691417754,0.023513675,0.043499067,0.197021574,0.04454799
N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.632407665,0.041809615,0.067617513,0.18978934,0.068375871
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.272891253,0.08444494,0.088556141,0.526530862,0.027576763
P+,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.846362412,0.001567745,0.012173731,0.134772971,0.005123133
N+,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.295683563,0.07913743,0.109695166,0.506653309,0.008830623
N,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.606562793,0.047456592,0.061639868,0.262846768,0.021493994
P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.533300161,0.047865309,0.020802042,0.143088371,0.254944056
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.711521327,0.044587959,0.028469374,0.208885089,0.006536253
N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.570907414,0.029184204,0.054913338,0.337476015,0.007519006
P,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.694138408,0.017061232,0.054520294,0.223855048,0.010425003
NEU,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.80292356,0.015524713,0.028351335,0.131960139,0.021240287
N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.530593753,0.076210842,0.142920062,0.196916535,0.053358797
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.701618612,0.007438535,0.032107532,0.251341015,0.007494361
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.397918522,0.030639531,0.149261296,0.400035679,0.022145033
N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.741540372,0.042154029,0.076131284,0.135915563,0.004258749
P,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.712532282,0.009276403,0.077602804,0.19412379,0.006464773
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.211779833,0.181827873,0.085777491,0.491557121,0.02905767
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,undefined,undefined,undefined,undefined,undefined
P+,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.713801265,0.038273498,0.020854622,0.160910398,0.066160135
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.590999722,0.034634087,0.029501114,0.31926468,0.025600411
N,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.388356924,0.040191486,0.060728379,0.469380975,0.041342244
N,AGREEMENT,SUBJECTIVE,90,IRONIC,0.425674915,0.038291857,0.06227161,0.454411626,0.019349989
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.390713155,0.108129665,0.172703698,0.303205609,0.025247831
NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.371632367,0.160040677,0.087121561,0.352119088,0.029086318
N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.294241905,0.053514309,0.249544472,0.386587679,0.016111668
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.149024755,0.118528739,0.137631923,0.551640391,0.043174174
P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.331390977,0.073258385,0.180779487,0.377769828,0.036801293
P,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.64812696,0.071060307,0.046396494,0.070651092,0.163765162
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.517526269,0.030932683,0.125807375,0.321962118,0.003771531
P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.701913834,0.035846125,0.030441836,0.199037835,0.032760404
N,AGREEMENT,SUBJECTIVE,82,IRONIC,0.355927169,0.117444098,0.078245103,0.39477241,0.053611264
N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.627726495,0.018071814,0.056167476,0.28106603,0.016968193
N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.697382927,0.009729437,0.049484566,0.238823205,0.004579832
N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.596020818,0.019076232,0.173122525,0.194876403,0.01690401
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.469804645,0.045276634,0.054752968,0.383299023,0.046866748
P,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.775664806,0.02460973,0.058806524,0.117398053,0.023520797
P,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.532557905,0.032479707,0.161814213,0.207501262,0.065646939
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.64475441,0.047435723,0.036730189,0.244223371,0.026856307
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.72023052,0.0322484,0.041243181,0.198203132,0.00807476
N+,AGREEMENT,OBJECTIVE,98,NONIRONIC,0.135085851,0.196224689,0.070085861,0.163609296,0.43499431
P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.654635072,0.041098829,0.033243038,0.256524563,0.014498469
NEU,DISAGREEMENT,SUBJECTIVE,82,IRONIC,0.592656255,0.028497182,0.028642397,0.335006595,0.015197554
NEU,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.623540938,0.049564157,0.069603473,0.20047015,0.056821268
N,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,0.578829646,0.077491999,0.088984989,0.20514819,0.049545165
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.499275208,0.059835274,0.176305264,0.250750661,0.013833603
N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.849471211,0.00963811,0.011506008,0.066460617,0.062924154
N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.585791469,0.066412605,0.106112987,0.233502626,0.008180339
N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.60077107,0.009854607,0.202223331,0.18515408,0.001996804
N,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.707151771,0.017502192,0.022350743,0.241821662,0.011173613
P,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.608358204,0.118766993,0.040233061,0.223345816,0.009295993
NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.606135607,0.022838593,0.150272429,0.209002703,0.011750661
N,AGREEMENT,OBJECTIVE,92,NONIRONIC,0.681919634,0.028666148,0.197841674,0.075372234,0.016200365
P,DISAGREEMENT,OBJECTIVE,86,NONIRONIC,0.340086669,0.020852637,0.220316097,0.414253831,0.004490771
N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.786107361,0.006523287,0.020191804,0.185283467,0.001894038
N,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.14036423,0.100079164,0.503562152,0.219968766,0.036025696
N,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.551577926,0.041665684,0.028299015,0.333121955,0.045335416
N+,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.301222026,0.112847343,0.187075689,0.381462812,0.017392168
NEU,DISAGREEMENT,SUBJECTIVE,81,NONIRONIC,0.684269071,0.033129785,0.097915605,0.176253244,0.008432319
N,AGREEMENT,SUBJECTIVE,90,NONIRONIC,0.514134824,0.0660806,0.044460513,0.20399645,0.171327576
N,AGREEMENT,SUBJECTIVE,89,NONIRONIC,0.608584344,0.031386133,0.068517193,0.242882639,0.048629694
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.597192764,0.046031076,0.071338579,0.270456612,0.014981003
N,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.474242032,0.115384713,0.087993294,0.25346458,0.068915375
P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.554634988,0.102836207,0.047114417,0.212005451,0.083408959
N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.468367159,0.023861833,0.024588447,0.475605547,0.007577009
P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.555210531,0.095651418,0.084576629,0.227088541,0.03747284
N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.613359034,0.011349326,0.120585263,0.190663531,0.064042829
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.559161007,0.016464842,0.039004255,0.336010605,0.049359314
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.603794217,0.082945786,0.089257136,0.192891389,0.031111499
P,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.232580841,0.265597641,0.10863097,0.19295302,0.200237557
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.264804453,0.407524645,0.066378221,0.211158916,0.050133727
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.810269833,0.022160854,0.039775301,0.112827793,0.014966224
P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.882372022,0.002499661,0.012457551,0.097682744,0.004988051
